symbol,code,name,exchange,board,list_date,industry,sample_group
002726.SZ,002726,ST龙大,SZ,主板,2014-06-26,C 制造业,SZ_主板
002856.SZ,002856,*ST美芝,SZ,主板,2017-03-20,E 建筑业,SZ_主板
002858.SZ,002858,力盛体育,SZ,主板,2017-03-24,R 文化传播,SZ_主板
002909.SZ,002909,集泰股份,SZ,主板,2017-10-26,C 制造业,SZ_主板
300012.SZ,300012,华测检测,SZ,创业板,2009-10-30,M 科研服务,SZ_创业板
300035.SZ,300035,中科电气,SZ,创业板,2009-12-25,C 制造业,SZ_创业板
300044.SZ,300044,*ST赛为,SZ,创业板,2010-01-20,I 信息技术,SZ_创业板
300085.SZ,300085,银之杰,SZ,创业板,2010-05-26,I 信息技术,SZ_创业板
300182.SZ,300182,捷成股份,SZ,创业板,2011-02-22,R 文化传播,SZ_创业板
300243.SZ,300243,瑞丰高材,SZ,创业板,2011-07-12,C 制造业,SZ_创业板
300249.SZ,300249,依米康,SZ,创业板,2011-08-03,I 信息技术,SZ_创业板
300261.SZ,300261,雅本化学,SZ,创业板,2011-09-06,C 制造业,SZ_创业板
300350.SZ,300350,华鹏飞,SZ,创业板,2012-08-21,G 运输仓储,SZ_创业板
300479.SZ,300479,神思电子,SZ,创业板,2015-06-12,I 信息技术,SZ_创业板
300573.SZ,300573,兴齐眼药,SZ,创业板,2016-12-08,C 制造业,SZ_创业板
300668.SZ,300668,杰恩股份,SZ,创业板,2017-06-19,L 商务服务,SZ_创业板
300823.SZ,300823,建科智能,SZ,创业板,2020-03-19,C 制造业,SZ_创业板
300829.SZ,300829,金丹科技,SZ,创业板,2020-04-22,C 制造业,SZ_创业板
301051.SZ,301051,信濠光电,SZ,创业板,2021-08-27,C 制造业,SZ_创业板
301138.SZ,301138,华研精机,SZ,创业板,2021-12-15,C 制造业,SZ_创业板
301298.SZ,301298,东利机械,SZ,创业板,2022-06-06,C 制造业,SZ_创业板
301397.SZ,301397,溯联股份,SZ,创业板,2023-06-28,C 制造业,SZ_创业板
301500.SZ,301500,飞南资源,SZ,创业板,2023-09-21,C 制造业,SZ_创业板
301607.SZ,301607,富特科技,SZ,创业板,2024-09-04,C 制造业,SZ_创业板
